County,Latitude,Longitude,Electricty,Pressure Lamp,Lantern,Tin Lamp,Gas Lamp,Fuel wood,Solar,Other Lighting,No. of households with electricity,No. of households with Pressure Lamp,No. of households with Lantern,No. of households with Tin Lamp,No. of households with Gas Lamp,No. of households with Fuel wood,No. of households with Solar,No. of households with Other,Households
Siaya,0.039184,34.279374,4.33,0.43,20.66,72.89,0.44,0.89,0.22,0.135655215,8615,858,41128,145066,885,1772,440,270,199034
Taita Taveta,-3.551502,38.376101,14.99,0.5,45.85,34.79,0.36,2.3,0.58,0.633000422,10653,353,32595,24732,257,1638,412,450,71090
Tana River,-1.584971,39.536272,2.5,0.18,20.23,66.31,1.27,0.94,5.87,2.697515502,1184,86,9590,31438,604,448,2785,1279,47414
Tharaka Nithi,-0.227324,37.882411,3.02,0.34,13.88,66.42,0.56,8.42,6.03,1.336107765,826,93,3801,18194,154,2307,1652,366,27393
Trans Nzoia,1.030597,34.949297,8.89,0.57,38.78,49.4,0.64,0.85,0.58,0.287449226,15121,977,65971,84035,1088,1442,994,489,170117
Turkana,3.318344,35.401457,2.45,0.18,8.58,10.98,0.56,0.77,72.97,3.508373177,3017,224,10571,13523,694,946,89894,4322,123191
Uasin Gishu,0.555288,35.306307,27.95,0.6,44.11,24.97,0.39,1.17,0.31,0.511639173,56534,1218,89231,50506,782,2357,628,1035,202291
Vihiga,0.0785,34.717749,7.04,0.44,28.48,62,0.84,0.62,0.47,0.104583006,8678,547,35132,76480,1038,761,582,129,123347
Wajir,1.895541,40.07933,3.43,0.11,31.53,16.88,11.03,0.17,29.69,7.166888703,3039,98,27923,14948,9767,155,26296,6348,88574
West Pokot,1.575837,35.316901,2.62,0.11,22.27,23.48,0.5,0.5,50.1,0.426543822,2456,104,20880,22021,467,469,46980,400,93777
